issuekey,title,description,storypoint
TESB-3279,"Karaf Cellar in TESB ","As a pre-sales colleague I want to be able to demonstrate the clustering capabilities of the Talend Runtime    Provide Karaf Cellar feature (latest version 2.2.2) in the Talend Runtime. Features URL shall be known but feature (or features) shall not be installed by default.  Bundles and features are available in Maven Central.  ",1
TESB-3286,"Documentation Support","Documentation team needs some support for the Service Locator proxies.  - DOCT-36  - DOCT-66    Contact Marie Lelandais (mlelandais@talend.com) as soon as possible",2
TESB-3287,"Deployment of Rent-a-Car sample with Archiva and TAC","As someone giving a demo or trying out Talend ESB I want to learn how easy it is to deploy a Java service in the Talend ESB EE edition.      Describe in the Getting Started Guide how to upload in an EE edition the Rent-a-Car sample to a local archiva repository    and how to deploy the sample with the help of TAC to a Talend Runtime.  If necessary enhance pom files of the Rent a Car sample. You can assume Archiva is installed locally.    Archiva and especially TAC are only part of the EE edition, still we will only provide one Getting Started Guide. Therefore we will have to document how things are done in SE and EE.  - Whenever something only works in EE we have to state it clearly and describe how things can be done manually in SE.  - As we don't provide an Archiva we should describe which  OS Maven repository managers exist (Archiva and Nexus) and where to get them (home page is fine).  ",3
TESB-3292,"The Publish Wizard Dialog should be improved to show the status but no response","if the publish takes long time, then the wizard dialog will have no response. ",1
TESB-3328,"Update tHttp request and response types to Document","At the moment the response and request method type is String. That requires the designer to add XML-to-String conversion components on the output and input.  The in/out type should become a DOM4J document. Additionally @Produces needs to be changes to @Produces({""application/xml"", ""application/json""}).  That will allow people GET data in JSON format.    I will contribute JAX-RS Provider which will handle the conversion of Document internally to XML or JSON as requested  by the consumer.",1
TESB-3351,"tESBProviderRequest Component should use new 'Service' item","As you know new 'Service' item was introduced in the 5.0.0M5, therefore all tESB* components should start using it. As you may see in TDI-17687 we have an open issue on the DI team to provide us with the mechanism for handling such references, however once such mechanism is available we need to update our tESB* components to support it.    *Story:* As a *Data Service Developer* I would like to use new 'Services' defined in the studio in my *tESBProviderRequest* and *tESBConsumer* components to seamlessly define a service, port and operation I would like to call.    *Note*: tESBConsumer changes are out of the scope of that backlog item.",5
TESB-3352,"ESB Features support for cCXF components","Enable configurative security support for cCXF components in Route Builder. Similar to the DS security support.  Runtime provides us two features as OSGi services:  * SAM  * SL  We need to inject these features into Route class and add them to the CXF endpoint.    SAM and SL features are only supported in runtime, not in Studio/Standalone  ",3
TESB-3356,"Improve WSDL Schema import action to support new Services item","We need to support a Schema import to XML Metadata for WSDLs defined under new Service items in the repository.",2
TESB-3402,"Incorrect Hover Help Text for components in Palette","Please work with Documentation team to correct language used in the hover text that is display when the mouse is hovering over the component",1
TESB-3403,"jvm crash when launching talend esb 4.2","when i try to launch tesb from our linux platform (SLES 10.2) i get the following error message.    I precise that this jvm works fine with many autonomous job from talend open studio    #  # A fatal error has been detected by the Java Runtime Environment:  #  #  SIGFPE (0x8) at pc=0xb7f6320b, pid=25350, tid=2405747616  #  # JRE version: 6.0_27-b07  # Java VM: Java HotSpot(TM) Server VM (20.2-b06 mixed mode linux-x86 )  # Problematic frame:  # C  [ld-linux.so.2+0x920b]  double+0xab  #  # An error report file with more information is saved as:  # /opt/talend/java/talend-esb-4.2/container/hs_err_pid25350.log  #  # If you would like to submit a bug report, please visit:  #   http://java.sun.com/webapps/bugreport/crash.jsp  # The crash happened outside the Java Virtual Machine in native code.  # See problematic frame for where to report the bug.  #  zsh: 25350 abort      ./tesb  ",1
TESB-3407,"TESB Studio Demo Project","Provide a demo project within Talend Open Studio for ESB & Talend ESB Studio with contains at least:    Data Services:  - 3 WSDL First Provider: 2 'normal provider (from Renat-a-Car) with static responce values and the 'Composite service from 'Rent-a-Car' example  - WSDL based Consumer for the 'composite' - service provider above which e.g. takes 4 Records from tRowGenerator and send 4 consumer requests to the service above     Routes:  - Example demonstrating main purpose of mediation and routes in it.  ",2
TESB-3449,"Add publish for Job",NULL,1
TESB-3467,"Support HTTP form submissions","Most of the user-facing Web applications use forms to submit the data.    Implementing it will be straightforward. If at least one Comment field in a schema contains 'form' then it means this particular mapping  manages a form submission and as such the following changes have to be applied to a corresponding generated method:  1. Default @Consumes({""application/xml"", ""application/json""}) needs to be replaced by @Consumes(""application/x-www-form-urlencoded"")  2. No org.dom4j.Document gets added to the signature    that is all what is needed. Supporting form submissions in combination with the redirect feature (as suggested in the other JIRA) will let users create complete web applications of simple to medium complexity.    ",1
TESB-3470,"Rename field 'xml' to 'body' in tRESTResponse","Need to rename 'xml' to 'body' in tRESTResponse schema.",1
TESB-3486,"Rent-A-Car sample runs together with new STS from Apache","As someone that tries out the Talend ESB I want to use the STS in the samples that is also used in production.    With the 5.0 we will integrate the new STS from Apache CXF. The STS Rent-a-Car samples shall work with this new STS.  For this  - We have to test the samples against the new STS and adapt the samples id necessary.  - Update the documentation to describe how to run the samples against the new STS.    Remarks:  We should run the STS within the Talend Runtime. Either reference in the Getting Started Guide where the setup for  a STS running in the Talend Runtime is described or describe it in the Getting Started Guide itself.  ",2
TESB-3487,"STS component delivered with Talend ESB based on CXF deliverables","As a Talend ESB user I want to have an STS in the release that exactly corresponds to the STS delivered with CXF.     At the moment we get a war file over the fence from the STS team. As the STS is now contributed to CXF and part of the 2.5.0 release. We should take the STS directly from CXF  and include it in our delivery. We will provide two flavors  - a war file in the add-ons/sts directory which we assemble ourself based on jars we get from CXF  - karaf feature together with the corresponding bundles included in Karafs internal Maven repository (under the system directory) feature repository is known to Karaf but not installed by default.  For both flavors provide sensible default implementations and configurations in order to be able to run the Rent-a-Car sample and secured data services.    Add a section in the Runtime configuration guide to describe how to install an STS in a Talend Runtime.  ",3
TESB-3494,"Nagios Support for TESB Runtime","Enable to monitor the well functioning of TESB resources (from Karaf, CXF, Camel, ActiveMQ) via Nagios and also monitor relevant metrics about the resourecs. This feature request is in many respects very to the Hyperic întegration.     h3. Definition of Resources and their metrics  Identify the resources withín TESB which should be monitored, e.g. endpoints in CXF , routes & contexts in Camel, queues, topics in ActiveMQ. Specify the useful metrics to be monitored in Nagios, especially the used to identify the overall status of the rsource. Like with the Hyperic integration all metrics should be available as JMX MBeans properties.    h3. Plugin Technology  As long as there are not convincing resons not to use it we should integrate jolokia (http://www.jolokia.org) on tesb side and jmx4perl (http://labs.consol.de/lang/de/jmx4perl/) as Nagios plugin to enable the monitoring. We should integrate jolokia in our Talend runtime (a bundle is available on Maven Central) and in our ActiveMQ distribution. For the Nagios plugin we should describe where and how to get it and how to build and install it. Because it is GPL we will not deliver it with our distribution.     h3. Configuration Files  For he resources we identified and their properties we should provide Nagios configuration templates using jmx4perl. Similar to the JMXAggregator ()  we might also expose the corresponding configurations as HTTP service.     h3. Documentation  Document everything :)    - Document the resouces that might be monitored  - Document for the jmx4perl Nagios plugin.  - Document the configuration templates, describe how to adapt them.",8
TESB-3506,"Wrong spelling in ""Export Service"" dialog","When selecting a target path and filename for exporting a service, where the corresponding .kar file already exists. the warning for overwriting the existing file has a spelling error:    ""Destination file exists and will be overwited!""    needs to be change to:    ""Destination file already exists and will be overwritten!""    ",1
TESB-3527,"Enhancements for the locator proxies","- If proxy shuts down endpoint registered through proxy are set to inactive. Instead they should stay active. Only when they are explicitly unregistered they should become inactive. ServiceLocator now provides method to persistently register an endpoint.  - Only HTTP SOAP based endpoints can be registered. No HTTPS based SOAP endpoints or REST based. It should be possible to specify binding and transport in addition when registering an endpoint.  - Also update the samples to use binding and transport",3
TESB-3531,"Custom Locator properties for Data Services Consumer","As a designer of a Data Service consumer I want to be able to specify custom properties when the locator is enabled.    Agree with tooling team how to pass the custom properties, probably some slot in the endpoint properties of the endpoint info. Pass the properties to the locator feature.  ",2
TESB-3546,"Camel components required by Route builder components preinstalled in Karaf container","As a Route designer I want to run routes containing technology specific components, such as ftp or ActiveMq out of the box.  Install the camel bundles these components depends on by default in the container.    For the followoing Route builder components we need to ensure the corresponding required Camel components are already installed in the Talend Runtime.  - cFile  - cFTP requiring camel-ftp  - cCXF requiring camel-cxf  - cJMS requiring camel-jms",2
TESB-3552,"Remove cActiveMQ and improve cJMS component to use pre-defined configuration templates","We need to remove *cActiveMQ* component and make sure features of *cActiveMQ* can be configured in *cJMS* component with ease. Similar to tMOMInput. We should have following templates:  * ActiveMQ  * WebSphereMQ",3
TESB-3553,"Stopping OSGI job containing tRESTRequest produces unexpected RuntimeException","I think at the moment that it is not a TESB container issue, may be I'm wrong...  When I attempt to stop a job containing tRESTRequest using osgi:stop or clicking CTRL-D to get the container exit, I'm seeing the following:    karaf@trun> job:list  HTTPService  karaf@trun> stop HTTPService  java.lang.RuntimeException: java.lang.InterruptedException    restservices.httpservice_0_1.HTTPService$QueuedMessageHandlerImpl.getRequest(HTTPService.java:342)    restservices.httpservice_0_1.HTTPService.tRESTRequest_1Process(HTTPService.java:990)    restservices.httpservice_0_1.HTTPService.runJobInTOS(HTTPService.java:1353)    org.talend.esb.job.controller.internal.SimpleJobTask$JobRunner.run(SimpleJobTask.java:85)    java.util.concurrent.Executors$RunnableAdapter.call(Executors.java:441)    java.util.concurrent.FutureTask$Sync.innerRun(FutureTask.java:303)    java.util.concurrent.FutureTask.run(FutureTask.java:138)    org.talend.esb.job.controller.internal.SimpleJobTask.run(SimpleJobTask.java:68)    java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)    java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)    java.lang.Thread.run(Thread.java:662)  Caused by: java.lang.InterruptedException    java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.reportInterruptAfterWait(AbstractQueuedSynchronizer.java:1961)    java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject.await(AbstractQueuedSynchronizer.java:1996)    java.util.concurrent.LinkedBlockingQueue.take(LinkedBlockingQueue.java:399)    restservices.httpservice_0_1.HTTPService$QueuedMessageHandlerImpl.getRequest(HTTPService.java:340)  	... 10 more    I'm not sure if the same issue exists for tESB or not, but the above should be handled differently, ex, LOG the warning that an interrupted exception has happened, as opposed to printing it to System.err and possibly handle it at the Activator level too. At the moment assigning to Renat.",1
TESB-3583,"Improve service metadata editing dialog","We need to improve service metadata editing dialog:  * Since we only support WSDL with exactly one portType we need to move the service metadata editing action on the service node instead of the portType.  * Make the SAML and Username token security issues checkboxes and not radio buttons. For provider we should have an ability to select both SAML and Username token options.  * Remove checkbox for enabling security. Since SAML and Username tokens are now checkboxes, main checkbox for enabling security is becoming obsolete.",2
TESB-3584,"tESBConsumer Username token authentication does not work from Studio/Standalone","When data service provider is configured to use Username token authentication and deployed in the runtime. The standalone/studio job that uses tESBConsumer component can't authenticate since it uses Basic authentication and not the WS-Security Username-token authentication type.  We have to leave user a choice to do both (basic and WS-Security username-token) standalone, and 3 types in container (basic, WS-Security username-token and SAML token)  ",1
TESB-3587,"EE instance logs error when starting up derby and sam provider","When starting up the server I see the following problem inside the log file.  It appears to be a dependency problem. Probably sigar expects a different version of log4j than provided by the container.    14:41:59,365 | ERROR | observer.server) | oring.jmx.server.OsInfoRetriever  239 | 193 - org.talend.monitoring.server - 4.3.0.SNAPSHOT | Exception when starting Sigar monitoring  java.lang.NoSuchMethodError: org.apache.log4j.Logger.getAllAppenders()Ljava/util/Enumeration;     at org.hyperic.sigar.SigarLog.isLogConfigured(SigarLog.java:40)[196:org.hyperic.sigar:1.0.0]     at org.hyperic.sigar.SigarLog.getLogger(SigarLog.java:49)[196:org.hyperic.sigar:1.0.0]     at org.hyperic.sigar.SigarLog.getLogger(SigarLog.java:44)[196:org.hyperic.sigar:1.0.0]     at org.hyperic.sigar.SigarLog.debug(SigarLog.java:60)[196:org.hyperic.sigar:1.0.0]     at org.hyperic.sigar.Sigar.<clinit>(Sigar.java:108)[196:org.hyperic.sigar:1.0.0]     at sigar.SigarCpuInfo.<clinit>(SigarCpuInfo.java:45)[193:org.talend.monitoring.server:4.3.0.SNAPSHOT]     at org.talend.monitoring.jmx.server.OsInfoRetriever.startSigarMonitoring(OsInfoRetriever.java:235)[193:org.talend.monitoring.server:4.3.0.SNAPSHOT]     at org.talend.monitoring.jmx.server.OsInfoRetriever.<init>(OsInfoRetriever.java:305)[193:org.talend.monitoring.server:4.3.0.SNAPSHOT]     at org.talend.monitoring.jmx.server.OSInformationAgent.start(OSInformationAgent.java:109)[193:org.talend.monitoring.server:4.3.0.SNAPSHOT]     at org.talend.remote.jobserver.server.TalendJobServer.startMonitoringServer(TalendJobServer.java:191)[194:org.talend.remote.jobserver.server:4.3.0.SNAPSHOT]     at org.talend.remote.jobserver.server.TalendJobServer.startOnly(TalendJobServer.java:101)[194:org.talend.remote.jobserver.server:4.3.0.SNAPSHOT]     at org.talend.remote.jobserver.server.activator.Activator.updated(Activator.java:45)[194:org.talend.remote.jobserver.server:4.3.0.SNAPSHOT]     at org.apache.felix.cm.impl.ConfigurationManager$ManagedServiceUpdate.run(ConfigurationManager.java:1160)[5:org.apache.felix.configadmin:1.2.8]     at org.apache.felix.cm.impl.UpdateThread.run(UpdateThread.java:104)[5:org.apache.felix.configadmin:1.2.8]     at java.lang.Thread.run(Thread.java:680)[:1.6.0_26]",2
TESB-3590,"Simplify selection of the services from the workspace in tESBConsumer component","Right now we have a selection dialog that allow user to enter an URL for the WSDL or select a file from the local file system. We would need to add a dialog that should show the services from the workspace to allow simple reuse of existing WSDLs.",1
TESB-3810,"Camel component cAggregate: the aggregation strategy is a mandatory option according to the Apache Camel website but set as optional in the ESB studio.","See http://camel.apache.org/aggregator.html.",1
TESB-3596,"Simplify relative URL support for services.","Simplify the relative URL:  * Exported endpoint in beans.xml shall always be relative  * WSDL in the studio shall always be full URL  * When exporting from studio we just cut the WSDL URL port and host. Examples:  ** If we have http://localhost:8088/foo/hasi in bean XML we will have */foo/hasi*.  ** If we have http://localhost:8099/foo/hasi in bean XML we will have */foo/hasi*.  ** If we have http://localhost:8099/services/hasi in bean XML we will have */services/hasi*.  ",1
TESB-3645,"Make path to ZooKeeper dataDir relative for ZooKeeper in Talend Runtime","For the ZooKeeper runing in the Talend Runtime with should  configure a relative path to the ZooKeeper data directory  Currently it's /zookeeper/server1/data this causes permission problems in Unix like operating systems. Use ./zookeeper/data instead",1
TESB-3650,"tRESTRequest - Wrong call handling","The handling of 'Wrong Call' does not work correctly.     For a simple tRESTRequest with one get ""/"" uri it not works correctly to do the Wrong call response.    In the log you can see that two wrong request arrived with www|404|    uuuu|404|   but the tRESTResponse didn't send it back.    Starting job CustomerService at 12:38 26/10/2011.    [statistics] connecting to socket on port 3434  [statistics] connected  26.10.2011 12:38:08 org.apache.cxf.endpoint.ServerImpl initDestination  INFO: Setting the server's publish address to be http://localhost:8088/  2011-10-26 12:38:08.454:INFO:oejs.Server:jetty-7.5.1.v20110908  2011-10-26 12:38:08.501:INFO:oejs.AbstractConnector:Started SelectChannelConnector@localhost:8088 STARTING  2011-10-26 12:38:08.517:INFO:oejsh.ContextHandler:started o.e.j.s.h.ContextHandler{,null}  rest service [endpoint: http://localhost:8088/] published  26.10.2011 12:38:16 org.apache.cxf.jaxrs.utils.JAXRSUtils findTargetMethod  WARNUNG: No operation matching request path ""/uuuu"" is found, Relative Path: /uuuu, HTTP Method: GET, ContentType: */*, Accept: text/html,application/xhtml+xml,*/*,. Please enable FINE/TRACE log level for more details.  26.10.2011 12:38:16 org.apache.cxf.jaxrs.impl.WebApplicationExceptionMapper toResponse  WARNUNG: WebApplicationException has been caught : no cause is available  wrong call [uri: uuuu ; status: 404 ; error: null]  uuuu|404|  26.10.2011 12:38:30 org.apache.cxf.jaxrs.utils.JAXRSUtils findTargetMethod  WARNUNG: No operation matching request path ""/www"" is found, Relative Path: /www, HTTP Method: GET, ContentType: */*, Accept: text/html,application/xhtml+xml,*/*,. Please enable FINE/TRACE log level for more details.  26.10.2011 12:38:30 org.apache.cxf.jaxrs.impl.WebApplicationExceptionMapper toResponse  WARNUNG: WebApplicationException has been caught : no cause is available  wrong call [uri: www ; status: 404 ; error: null]  java.lang.RuntimeException: java.lang.Exception: java.util.concurrent.TimeoutException    demo.customerservice_0_1.CustomerService$QueuedMessageHandlerImpl.sendResponse(CustomerService.java:397)    demo.customerservice_0_1.CustomerService.tRESTRequest_1Process(CustomerService.java:2611)    demo.customerservice_0_1.CustomerService.runJobInTOS(CustomerService.java:3136)    demo.customerservice_0_1.CustomerService.main(CustomerService.java:3004)  Caused by: java.lang.Exception: java.util.concurrent.TimeoutException    demo.customerservice_0_1.CustomerService$QueuedExchangeContextImpl.release(CustomerService.java:293)    demo.customerservice_0_1.CustomerService$QueuedMessageHandlerImpl.sendResponse(CustomerService.java:395)  	... 3 more  Caused by: java.util.concurrent.TimeoutException    java.util.concurrent.Exchanger.exchange(Unknown Source)    demo.customerservice_0_1.CustomerService$QueuedExchangeContextImpl.release(CustomerService.java:288)  	... 4 more  www|404|  Job CustomerService ended at 12:39 26/10/2011. [exit code=0]            ",1
TESB-3654,"Add flexibility in artifact publishing with SNAPSHOTS","Since the fixed version once published can't be overwritten in the Archiva repository we need to give our users a support and guidance to use SNAPSHOT versions instead. Practially speaking publishing of the non-SNAPSHOT versions is very rare event, therefore by default we should always use SNAPSHOT version, and ask an explicit confirmation from user if she would like to publish a released version.  Following things need to be doable:  * Change the Archiva settings in the Studio preferences. User should be able to configure two repository locations instead of one. It should be 'Snapshot repository' and 'Release repository', default names are *repo-snapshot* and *repo-release*. Default username/password should be *tadmin*/*tadmin*. These settings will be pre-configured in Archiva by default which is done by TAC team now.  * Make sure a SNAPSHOT version is published by default, and snapshots are published to the 'Snapthos repository'.  * Make sure we comply with *maven-3* SNAPSHOT naming policy (example SNAPSHOT-[TIMESTAMP].jar)  * Make sure user is warned and an explicit confirmation is requested when publishing the release version.  * Make sure releases are published to the 'Release repository' and not to the 'Snapshot repository'.  ",2
TESB-3663,"tESBConsumer: add HTTP BASIC authentication support","tESBConsumer now can be configured to use BASIC authentication scenario - http://en.wikipedia.org/wiki/Basic_access_authentication    it would be good to support this for consumer jobs in runtime container also    information about this authentication type provided to runtime the same way as for other types - in ESBEndpointInfo object during registering consumer on runtime  {code}  registry.createConsumer(new ESBEndpointInfo() {    	// ...    	public java.util.Map<String, Object> getEndpointProperties() {  		return new java.util.HashMap<String, Object>() {  			{  				// ...  				put(""esbSecurity"", ""BASIC"");    				put(""username"", ""Aladdin"");  				put(""password"", ""open sesame"");  				// ...  			}  		};  	}    	// ...  }  {code}",2
TESB-3665,"SAM Feature not works with Routes exported in runtime when the dataFormat = MESSAGE on the cCXF component","SAM Feature not works with Routes exported in runtime when the dataFormat = MESSAGE on the cCXF component  Scenario:   - create route with cCXF component (set use SL and SAM)   - exported it to ESB Runtime   - deployed to runtime.  Expected result:   - SL Feature enabled for route   - SAM Feature enabled for route.  Actual:   - SL Feature enabled for route   - SAM Feature not works for route.    There are no exceptions in log. But in console I see:    16:14:55,540 | INFO  | pool-9-thread-1  | g.apache.cxf.endpoint.ServerImpl   94 |  -  -  | Setting the server's publish  address to be http://localhost:8888/services/route  16:14:55,701 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.apache.cxf.interceptor.OneWayProcessorInterceptor@5ab95279  16:14:55,704 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.apache.cxf.frontend.WSDLGetInterceptor@3cd5b477  16:14:55,706 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.apache.cxf.ws.addressing.MAPAggregator@723b0fd4  16:14:55,708 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.apache.cxf.ws.addressing.soap.MAPCodec@38c61e3  16:14:55,710 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.talend.esb.sam.agent.flowidprocessor.FlowIdProducerIn@756e7fe6  16:14:55,712 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.talend.esb.sam.agent.eventproducer.EventProducerInterceptor@298f1145  16:14:55,714 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.apache.cxf.ws.addressing.MAPAggregator@723b0fd4  16:14:55,716 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.apache.cxf.ws.addressing.soap.MAPCodec@38c61e3  16:14:55,718 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.talend.esb.sam.agent.flowidprocessor.FlowIdProducerOut@6fb6de53  16:14:55,720 | INFO  | pool-9-thread-1  | eature.AbstractDataFormatFeature   63 | 163 - org.apache.camel.camel-cxf - 2.8  .2 | removing the interceptor org.talend.esb.sam.agent.wiretap.WireTapOut@4ebe5471    So, all defined sam interceptors were deleted during route startup.  In attach:   - exported route",2
TESB-3675,"Improve usability of the 'New Service' wizard","Following aspects should be improved:  * Second page of the wizard need a redesign.  * Add a checkbox 'Import WSDL Schemas on finish'   * When WSDL is imported and/or new empty WSDL is created we need to open the WSDL editor with it.  * Empty WSDL should contain pre-initialized service with one portType, one operation, one port and endpoint with http://localhost:8090/services/[ServiceName]  * Make sure namespace of the WSDL created from scratch *does not contain* any indication of the Talend resource version like  *_0.1*, that's a bad practice and misleading.",3
TESB-3678,"Notes in the Route Builder diagrams","Add 'yellow' notes to the RouteBuilder diagrams similar to the DI Jobs Diagrams. Timeboxed. If model change is required, then don't do it.",2
TESB-3683,"Multiple use of term repository in Service Builder","In the settings view for a tESBProvider* you can configure the schema used. You can choose Built-in or Repository. When you choose _Repository_ you actually get the content of the _Services_ category, not the metadata.    If you want to get the same thing in tXMLMap and you choose _Import from Repository on a payload element, you get the content of the metadata in the repository, not the stuff under _Services_.    This is IMO misleading. Either use proper names so that users can distinguish what actually is used. -Or better, fix the relationship between the data under _Services_ and XML metadata.- (Removed by Renat)",1
TESB-3684,"A detail but very convenient = Keep in memory the default ""deploy"" container folder","you have to look for the ""deploy"" directory each time each time  you want to export a job / route as an OSGI bundle,    ",1
TESB-3685,"Change cMessagingEndpoint to cMessageEndpoint","The actual name of the EIP is Message Endpoint (see for instance http://camel.apache.org/message-endpoint.html), not Messaging Endpoint. Even though you might think the priority of this should be _Trivial_ I gave it a _Major_ as it suggest we don't know the EIPs!  *Note:* Migration of the Routes created with the old names is not in scope of that backlog item.",5
TESB-3687,"Code completion does not work in cProcessor","Can't use code completion in cProcessor editor pane.     Even if you try to complete existing default code. For example:  System.out.println(""We just downloaded: ""+ exchange.getIn().getHeader(""CamelFileName""));    Try to complete getIn().<ctrl><space>    Is not showing getHeaders",1
TESB-3688,"Content Based Router (cMessageRouter) Is not working in Studio","The CBR does not seem to parse even constant Simple expressions correctly.  I started by extracting a value from the body content and setting it a header of the message for use in subsequent routing.  Initially I thought the source of my error was in setting the header.  But upon checking more carefully I was able to validate that I was indeed setting the error correctly.  The fault lies with the cMessageRouter.  In the attached diagram I have set the only ""when"" branch of the cMessageRouter to have a transition with the following predicate:  ""'true'=='false'""    This should always be false, but in practice it  is always this branch which is executed.  I am only marking this as Critical now until somebody replicates the error, but I believe it to be a blocker for R5.",1
TESB-3690,"Improved security configuration in tESBConsumer","As discussed during the Tooling RC2 Sprint Review meeting would be great to improve security configuration in *tESBConsumer*. We need to split combo-box with 4 options into one checkbox *Authentication* and combo-box with 3 options   * *Basic HTTP*  * *SAML Token*.  * *Username Token*    *Note*: Order in the new combo-box is not essential. New combo-box is only enabled/appeared when Authetnication checkbox is clicked.  ",1
TESB-3706,"Publish Service to Artifact Repository: Slashes in Goup ID neither supported along complete chain, nor prevented","When publishing a Service from the Studio to the Artifact Repository where the Group ID contains a ""/"" the further chain of deploying does not work.    1. In the Group ID use a combination of Dots and Slashes like in org.talend.example/test   (as this combination is usual in URI's it is very likeley customers use it!)  2. Publish to Artefect Repository. The step is sucessfull but the resulting Group ID is: talend.org.example.test  3. Load it into the ESB Conductor in TAC (sucessfull)  4. Deploy it into the ESB Container (fails)    Actual behavior:  during the deployment the URL can not be resolved where the URL is again taken to be the one with slashes: org.talend.example/test/jobtest/0.1    Expected behavior:  Either:  1. dots and slashes within the Group ID work along the complete chain from publish to running the feature in runtime  Or:  2. Slashes are prevented already in the dialog where you enter the Group ID      See screencast: http://screencast.com/t/bvyEpIS0N0Y  ",1
TESB-3708,"Publish to Artifact Repository: Special characters in Group ID not prevented on dialog","When publishing a Service from the ESB Studio to the Artifact Repository I any special characters are allowed when entering the Group ID.    Actual Behavior for following cases:  1. String: 5&$§/.)(? Result: Publish command fails with: ""Publish to Repository failed, details: null  2. String: 5&$§ Result: Publish suceeds but Repository can not resolve it When drilling down the Group ID folder is not opening but gets extended (corrupt)  3. String: &% Result: Publish command fails with: ""Publish to Repository failed, details: HTTP/1.1/ 400 Bad Request""    Expected Behavior for all examples (and any other not allowed character):  In the Publish Dialog it is already prevented to use any non allowed character in the Group ID     ",1
TESB-3739,"Recurrent information in Jobserver log","Every 5 seconds the jobserver is displaying this kind of information in the log. So, the log is quickly getting filled with this.    2011-11-02 13:56:55,390 INFO  CPUMonitoringData - the total user cpu usage is 0.060144425759224455  2011-11-02 13:56:55,390 INFO  CPUMonitoringData - the total nice cpu usage is 0.0  2011-11-02 13:56:55,392 INFO  CPUMonitoringData - the total system cpu usage is 0.04639430210703334  2011-11-02 13:56:55,394 INFO  CPUMonitoringData - the total Idle cpu usage is 0.8810960530220595  2011-11-02 13:56:55,396 INFO  CPUMonitoringData - the total IRQ cpu usage is 0.01236521911168266  2011-11-02 13:56:55,399 INFO  CPUMonitoringData - the total Soft Irq cpu usage is 0.0  2011-11-02 13:56:55,402 INFO  CPUMonitoringData - the total Steal cpu usage is 0.0  2011-11-02 13:56:55,404 INFO  CPUMonitoringData - the total io wait cpu usage is 0.0  2011-11-02 13:56:55,406 INFO  CPUMonitoringData - the total Total system cpu usage is 0.10653872786625779  2011-11-02 13:56:55,419 INFO  CPUMonitoringData -   *************************************** ********",1
TESB-3745,"Change Service Locator SOAP|REST Proxy to Locator SOAP|REST Service","As a product manager I want the components formerly named Service Locator SOAP proxy and Service Locator Rest proxy consistently be named Locator SOAP Service and Locator REST Service     This should be done  - in documentation,  - in the endpoints   - in the samples,  - in the code (only if consequences are clear)  ",2
TESB-3746,"WSDL and WADL Files for the Locator Services are missing in the delivery","WSDL file for the Locator SOAP Service and WADL file for The Locator REST Service should be added to the add-ons/locator directory. This should be documented in thr Runtime Configuration Guide.",1
TESB-3747,"Finalize integration with Artifact Repository (Apache Archiva)","As someone running everything on a local machine I want to use the Artifact Repository delivered with TAC out of the box.    To provide access to the local artifact repositories add in file org.ops4j.pax.url.mvn.cfg entries for local Arhiva repositories named repo-snapshot for snapshot bundles and repo-release for released bundles. The user name to access both repositories is tadmin, password also tadmin.    Remove archiva compponents from add-ons directory as they are obsolete. In future the repository delivered with TAC should be used.  ",1
TESB-3749,"tRESTRequest relative URI is not supported during the OSGI export and deployment correctly",NULL,3
TESB-3756,"Redeploy data service: InstanceAlreadyExistsException exception","Scenario:  - deploy data service into runtime  - undeploy service: feature:uninstall + delete kar from /deploy folder (+ optionally: delete 'services' folder from 'local-repo')  - deploy the same kar again    Expected:  - data service deployed and started, no exception in log    Actual:  - data service deployed and started, InstanceAlreadyExistsException exception in log    in attach:  - kar  - log",1
